player.id,season_id,season,games,minutes
6782,90,2020_2021,1,60.55406667
6784,90,2020_2021,1,94.72438333
6785,90,2020_2021,2,190.0119833
6786,90,2020_2021,1,8.395133333
6787,90,2020_2021,1,15.9261
6789,90,2020_2021,1,64.28065
6790,90,2020_2021,2,194.6848333
6796,90,2020_2021,1,28.07996667
6797,90,2020_2021,2,194.4164333
6799,90,2020_2021,1,93.5108
6803,90,2020_2021,1,63.47771667
6805,90,2020_2021,1,99.32313333
6807,90,2020_2021,1,94.72438333
6809,90,2020_2021,1,97.29926667
6821,90,2020_2021,2,190.0119833
6826,90,2020_2021,32,2548.38265
6830,90,2020_2021,1,95.36925
6840,90,2020_2021,2,172.2884833
6842,90,2020_2021,2,189.2790167
6851,90,2020_2021,2,101.7505833
6863,90,2020_2021,2,145.3562667
6872,90,2020_2021,1,96.01051667
6877,90,2020_2021,1,94.00641667
6880,90,2020_2021,1,73.93883333
6892,90,2020_2021,2,189.8537167
6893,90,2020_2021,1,46.88498333
6898,90,2020_2021,1,100.3576833
6901,90,2020_2021,2,140.4718333
6906,90,2020_2021,1,11.82203333
6908,90,2020_2021,2,48.16923333
6923,90,2020_2021,1,40.21698333
6930,90,2020_2021,1,70.98836667
6935,90,2020_2021,2,42.97075
6947,90,2020_2021,17,600.2308167
6982,90,2020_2021,1,34.27538333
7006,90,2020_2021,1,45.97553333
7022,90,2020_2021,2,110.2329667
7030,90,2020_2021,2,173.1929333
7064,90,2020_2021,1,72.35775
7068,90,2020_2021,1,98.3483
7104,90,2020_2021,1,97.29926667
7105,90,2020_2021,1,36.98348333
7478,90,2020_2021,2,56.59048333
7578,90,2020_2021,1,36.9691
7897,90,2020_2021,1,60.29426667
7910,90,2020_2021,2,36.35815
8118,90,2020_2021,34,3075.177433
8540,90,2020_2021,1,86.60178333
8572,90,2020_2021,1,48.95536667
8652,90,2020_2021,1,94.05875
8654,90,2020_2021,2,99.27386667
8819,90,2020_2021,2,114.8185
8866,90,2020_2021,2,34.0922
